순위,상품명,상호,사업자번호,연락처,URL
1,"설향 딸기 대과, 500g, 2개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20974391461&vendorItemId=88039347874&pickType=COU_PICK&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=0&rank=0
2,"설향 딸기 대과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20657657272&vendorItemId=79445011579&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=1&rank=1
3,"마이팜 설향 고당도 제철 딸기, 1개, 2kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24496322351&vendorItemId=91509480865&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-a1a3-8d6d55ed9e13&korePlacement=15&koreSubPlacement=3&clickEventId=a067ec10-c9ee-11f0-a1a3-8d6d55ed9e13&korePlacement=15&koreSubPlacement=3
4,"설향 딸기 중과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=25820485069&vendorItemId=79852251776&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=3&rank=3
5,"달콤과즙 설향 딸기 생딸기, 1박스, 700g (24~35구)",윔지셀 / 장효윤,396-09-03013,010-3905-7516,https://www.coupang.com/vp/products/9188231971?itemId=27108706005&vendorItemId=94076812868&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-8d48-c97cbee00c1f&korePlacement=15&koreSubPlacement=5&clickEventId=a067ec10-c9ee-11f0-8d48-c97cbee00c1f&korePlacement=15&koreSubPlacement=5
6,"[부자농산] 프리미엄 지리산 금실딸기 3X5 대과 (서울 전 지역 당일배송), 2개, 500g",싱싱유통 / 박주필,871-93-00670,010-6463-2916,https://www.coupang.com/vp/products/8493801828?itemId=24580476870&vendorItemId=91555691096&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-8dc3-245abda5bda3&korePlacement=15&koreSubPlacement=6&clickEventId=a067ec10-c9ee-11f0-8dc3-245abda5bda3&korePlacement=15&koreSubPlacement=6
7,"설향 딸기 대과, 500g, 3개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20974391551&vendorItemId=88039347921&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=6&rank=6
8,"[산지직송] 고당도 하우스 설향 딸기 brix 12-15, 1개, 딸기 1kg(2팩)",하루한개 / 곽소현,204-96-21333,032-1811-2054,https://www.coupang.com/vp/products/8444112974?itemId=24426656240&vendorItemId=79528570452&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=7&rank=7
9,"고당도 프리미엄 국산 설향 금실 홍희 킹스베리 생 딸기, 1개, 상 500g*1팩",박서방 / 박재홍,349-90-01870,070-8027-1511,https://www.coupang.com/vp/products/8459469740?itemId=24470662468&vendorItemId=91484218533&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-99ed-dc2f41c16720&korePlacement=15&koreSubPlacement=9&clickEventId=a067ec10-c9ee-11f0-99ed-dc2f41c16720&korePlacement=15&koreSubPlacement=9
10,"마이팜 설향 고당도 제철 딸기, 1개, 2kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24496322351&vendorItemId=91509480865&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=9&rank=9
11,"팜앤프룻 고당도 제철 설향 딸기, 1개, 1kg 특",207번상회(원협207) / 이정훈,131-92-09111,010-5134-0334,https://www.coupang.com/vp/products/8466359735?itemId=24496391059&vendorItemId=91509547872&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-b3ca-bb06f736ab3b&korePlacement=15&koreSubPlacement=11&clickEventId=a067ec10-c9ee-11f0-b3ca-bb06f736ab3b&korePlacement=15&koreSubPlacement=11
12,"햅피팜 당도선별 딸기 설향 고당도 생 딸기, 1개, 특품 1kg",햅피팜 / 조미숙,335-03-03506,010-7605-8649,https://www.coupang.com/vp/products/8500957152?itemId=24608186913&vendorItemId=91619540887&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-b556-4f55e8d6991a&korePlacement=15&koreSubPlacement=12&clickEventId=a067ec10-c9ee-11f0-b556-4f55e8d6991a&korePlacement=15&koreSubPlacement=12
13,"설향 딸기 대과, 500g, 4개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20974391708&vendorItemId=88039348028&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=12&rank=12
14,"설향 딸기 중과, 500g, 2팩",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=20974391383&vendorItemId=88039347774&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=13&rank=13
15,"설향 딸기 중과, 500g, 6개",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=25565863317&vendorItemId=92557071201&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=14&rank=14
16,"[프리미엄 딸기] 가락시장 직송 설향 딸기 경매 고당도 선별, 1개, 450g(20-24구)",찬달컴퍼니 / 윤수진,730-03-02982,010-9468-0750,https://www.coupang.com/vp/products/9170395448?itemId=27025738855&vendorItemId=93994300241&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=15&rank=15
17,"설향 딸기 중과, 500g, 5팩",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=20974391670&vendorItemId=88039348036&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=16&rank=16
18,"설향 딸기 중과, 500g, 3팩",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=20974391538&vendorItemId=88039347920&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=17&rank=17
19,"설향 딸기 중과, 500g, 4팩",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=20974391625&vendorItemId=88039347992&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=18&rank=18
20,"산청 장희딸기, 1개, 750g",-,-,-,https://www.coupang.com/vp/products/8468252807?itemId=24500834873&vendorItemId=91513924747&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=19&rank=19
21,"[농장직송] 빅사이즈 설향딸기 논산 생딸기, 1개, 700g(특대)",플러스팜 / 이경근,208-08-69782,010-8343-2836,https://www.coupang.com/vp/products/9193469194?itemId=27133240361&vendorItemId=94101205837&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-8724-16b246222977&korePlacement=15&koreSubPlacement=21&clickEventId=a067ec10-c9ee-11f0-8724-16b246222977&korePlacement=15&koreSubPlacement=21
22,"상콤달콤 맛있는 딸기, 1박스, 700g, 설향딸기 특 / 20-30과",주식회사 블레어 / 이정환,843-86-02898,1551-6080,https://www.coupang.com/vp/products/8466706824?itemId=24497426581&vendorItemId=88990902275&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-b61f-b3cd3ad58949&korePlacement=15&koreSubPlacement=22&clickEventId=a067ec10-c9ee-11f0-b61f-b3cd3ad58949&korePlacement=15&koreSubPlacement=22
23,"[만족도1위] 생딸기 국산 설향 딸기, 1박스, 한입과 350g",주식회사 성금당 / 조현수,555-87-04133,070-7954-8525,https://www.coupang.com/vp/products/9189290030?itemId=27113351169&vendorItemId=94081437833&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=22&rank=22
24,"[프리미엄 실패없는 백화점 납품중 킹스베리 딸기] 11월 중순 첫 수확논산킹스베리딸기 새벽 수확 배송 고당도 보장 가정용 선물용, 1박스, 가정용 특품 실속형 1팩 (15과)",안젤라 제이상사 / 주경훈,325-27-00982,070-8064-0806,https://www.coupang.com/vp/products/9170605182?itemId=27026698275&vendorItemId=93995259080&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=23&rank=23
25,"[상위1%고당도] 프리미엄 제철 설향 금실 장희 딸기 새콤달콤 생딸기, 1세트, 1kg(500g두팩)",해들마루 / 장현정,494-02-03749,010-8469-7412,https://www.coupang.com/vp/products/9188994005?itemId=27112069495&vendorItemId=94080162101&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=24&rank=24
26,"최상급 산지직송 설향딸기, 상 700g(20~35과), 1개",달콤팜 / 이재우,291-98-01392,070-8065-4126,https://www.coupang.com/vp/products/7230076127?itemId=25065603248&vendorItemId=91587778522&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=25&rank=25
27,"[만족도1위] 킹스베리 딸기, 1박스, 실속형 1팩",주식회사 성금당 / 조현수,555-87-04133,070-7954-8525,https://www.coupang.com/vp/products/9183616528?itemId=27086788445&vendorItemId=94055028017&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=26&rank=26
28,"[100일 특가] 국내산 산지 직송 고당도 설향 딸기, 1개, 350g (특과)","우람바당 / 이재혁, 우미경",582-93-02254,010-3116-3163,https://www.coupang.com/vp/products/9192064613?itemId=27126678022&vendorItemId=94094705907&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=27&rank=27
29,"GAP 인증 산청 장희딸기 대, 1개, 750g",-,-,-,https://www.coupang.com/vp/products/9174346854?itemId=27043589530&vendorItemId=94012027889&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=28&rank=28
30,"[산지직송] 고당도 하우스 설향 딸기 brix 12-15, 1개, 딸기 2kg(4팩)",하루한개 / 곽소현,204-96-21333,032-1811-2054,https://www.coupang.com/vp/products/8444112974?itemId=24426656239&vendorItemId=79528570435&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=29&rank=29
31,"[산지직송] 고당도 설향 딸기 프리미엄 생 딸기, 1개, 딸기 (특대) 500g(1팩)",하루한개 / 곽소현,204-96-21333,032-1811-2054,https://www.coupang.com/vp/products/8444117843?itemId=24426670800&vendorItemId=87690599540&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=30&rank=30
32,"[가락시장 딸기] 서울지역 당일배송 프리미엄 고당도 딸기 특상품 새벽경매 직접 선별 하이과일, 4개, 430g",리바운드픽 / 이해나,816-01-02977,010-9139-2574,https://www.coupang.com/vp/products/9195971938?itemId=27144577868&vendorItemId=94112450853&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=31&rank=31
33,"앤네이쳐 동결건조 딸기다이스그래뉼 300g, 2개",(주)앤네이처인터내셔널 / 황영규,384-88-02277,031-527-3343,https://www.coupang.com/vp/products/9086068293?itemId=26696504163&vendorItemId=93668433455&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=32&rank=32
34,"[재구매1위]국내산 산지직송 최상급 고당도 설향딸기, 1박스, 350g",엔드엑스 / 정영희,284-72-00487,010-9166-9307,https://www.coupang.com/vp/products/9202953643?itemId=27174515552&vendorItemId=94142150068&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=33&rank=33
35,"설향 딸기 대과, 500g, 6개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=25565863464&vendorItemId=92557071333&q=딸기&searchId=246ee51f2379&sourceType=search&itemsCount=36&searchRank=34&rank=34
36,"스윗쿡 과일앤 당일수확 논산 설향 딸기, 1개, 750g(20~30구)",(주)에이지컴퍼니 / 권선혜,715-86-00218,010-2107-2772,https://www.coupang.com/vp/products/9151357779?itemId=26956040804&vendorItemId=93915881505&sourceType=srp_product_ads&clickEventId=a067ec10-c9ee-11f0-a99f-2875b778bbcd&korePlacement=15&koreSubPlacement=37&clickEventId=a067ec10-c9ee-11f0-a99f-2875b778bbcd&korePlacement=15&koreSubPlacement=37
37,"마이팜 설향 고당도 제철 딸기, 1개, 2kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24496322351&vendorItemId=91509480865&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-893f-5dd958d82258&korePlacement=15&koreSubPlacement=37&clickEventId=a3ffb8d0-c9ee-11f0-893f-5dd958d82258&korePlacement=15&koreSubPlacement=37
38,"[산지직송] 고당도 하우스 설향 딸기 brix 12-15, 1개, 딸기 500g(1팩)",하루한개 / 곽소현,204-96-21333,032-1811-2054,https://www.coupang.com/vp/products/8444112974?itemId=24426656241&vendorItemId=79528570422&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=37&rank=37
39,"마이팜 설향 고당도 제철 딸기, 1개, 1kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24924721259&vendorItemId=91509480859&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-b158-e926aa59b49c&korePlacement=15&koreSubPlacement=39&clickEventId=a3ffb8d0-c9ee-11f0-b158-e926aa59b49c&korePlacement=15&koreSubPlacement=39
40,"[딸기명가]새콤달달 프리미엄 설향딸기, 1세트, 실속형 1팩",주식회사 넥스트 초이스 / 최혜정,824-87-03059,070-8098-6188,https://www.coupang.com/vp/products/9172098208?itemId=27033337423&vendorItemId=94001862008&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=39&rank=39
41,"팜앤프룻 고당도 제철 설향 딸기, 1개, 1kg 특",207번상회(원협207) / 이정훈,131-92-09111,010-5134-0334,https://www.coupang.com/vp/products/8466359735?itemId=24496391059&vendorItemId=91509547872&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-afac-bc541c0c578f&korePlacement=15&koreSubPlacement=41&clickEventId=a3ffb8d0-c9ee-11f0-afac-bc541c0c578f&korePlacement=15&koreSubPlacement=41
42,"재구매1위 상큼달콤 설향딸기 50박스만 초특가, 1박스, 350g 한입 - 1팩 20구",마르보앤우디엘 주식회사 / 문인보,753-81-00971,010-4637-7210,https://www.coupang.com/vp/products/9189761046?itemId=27115792998&vendorItemId=94083871646&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=41&rank=41
43,"달콤과즙 설향 딸기 생딸기, 1박스, 700g (24~35구)",윔지셀 / 장효윤,396-09-03013,010-3905-7516,https://www.coupang.com/vp/products/9188231971?itemId=27108706005&vendorItemId=94076812868&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-a6a4-c5885d1e3d80&korePlacement=15&koreSubPlacement=43&clickEventId=a3ffb8d0-c9ee-11f0-a6a4-c5885d1e3d80&korePlacement=15&koreSubPlacement=43
44,"[프리미엄] SNS강타 고당도 명품과육 킹스베리, 1박스, 실속형 1팩",들내음 / 이재규,462-60-01007,010-8161-4481,https://www.coupang.com/vp/products/9191538763?itemId=27124281042&vendorItemId=94092330206&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=43&rank=43
45,"[재구매율1위] GAP인증 초고당도 설향 딸기, 1박스, 350g 오늘특가",달콤팡 / 박미소,439-90-02212,070-8080-3952,https://www.coupang.com/vp/products/9183432226?itemId=27086095926&vendorItemId=94054340360&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=44&rank=44
46,"최상급 산지직송 설향딸기, 700g, 1개",달콤팜 / 이재우,291-98-01392,070-8065-4126,https://www.coupang.com/vp/products/7230076127?itemId=25066239229&vendorItemId=80115313857&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=45&rank=45
47,"[부자농산] 프리미엄 지리산 금실딸기 3X5 대과 (서울 전 지역 당일배송), 1개, 500g",싱싱유통 / 박주필,871-93-00670,010-6463-2916,https://www.coupang.com/vp/products/8493801828?itemId=24580476871&vendorItemId=91555691103&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-99a5-88510b6e8ab2&korePlacement=15&koreSubPlacement=47&clickEventId=a3ffb8d0-c9ee-11f0-99a5-88510b6e8ab2&korePlacement=15&koreSubPlacement=47
48,"[2주한정판매] 첫수확특가 초고당도 과즙폭발 산지직송 설향딸기, 2개, 350g (중과) 20과수",온유 (On you) / 박형기,507-05-53930,010-5761-0109,https://www.coupang.com/vp/products/9185807119?itemId=27097072724&vendorItemId=94065260776&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=47&rank=47
49,"고당도 프리미엄 국산 설향 금실 홍희 킹스베리 생 딸기, 1개, 특 500g*1팩",박서방 / 박재홍,349-90-01870,070-8027-1511,https://www.coupang.com/vp/products/8459469740?itemId=24470662467&vendorItemId=91484218528&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-bb51-9eb1ceb73239&korePlacement=15&koreSubPlacement=49&clickEventId=a3ffb8d0-c9ee-11f0-bb51-9eb1ceb73239&korePlacement=15&koreSubPlacement=49
50,"아름따다 설향딸기 고당도, 1세트, 한입과 350g (1팩)",승우 / 나종석,310-11-64682,010-9463-9859,https://www.coupang.com/vp/products/9192251215?itemId=27127543161&vendorItemId=94095558311&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=49&rank=49
51,"산지직송 국내산 고당도 설향딸기, 1박스, 특과 2팩 (30과)",밭에서한입 / 고용근,748-15-02647,010-2194-5644,https://www.coupang.com/vp/products/9182328306?itemId=27081004863&vendorItemId=94049269782&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=50&rank=50
52,"[2주한정판매] 첫수확특가 초고당도 과즙폭발 산지직송 설향딸기, 2개, 350g (특과) 15과수내외",온유 (On you) / 박형기,507-05-53930,010-5761-0109,https://www.coupang.com/vp/products/9185807119?itemId=27097072723&vendorItemId=94065260777&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=51&rank=51
53,"논산 설향 생딸기 특품 산지직송, 1박스, 설향딸기 20~30구",산지직송365 / 동우진,132-44-01197,010-7534-7468,https://www.coupang.com/vp/products/9173167415?itemId=27038297186&vendorItemId=94006766175&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=52&rank=52
54,"(소비기한 26.04.02) [웰팜] 냉동 딸기(페루) 1.5kg, 1개",(주)웰팜 / 최희상,303-81-32171,080-707-2547,https://www.coupang.com/vp/products/8924069678?itemId=26081210720&vendorItemId=93062116219&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=53&rank=53
55,"[프리미엄]산지직송 꿀brix 꿀을뿌린맛 왕중의왕 킹스베리, 1박스, 왕특 440g",다판당당 / 박상현,612-19-26241,010-8409-4314,https://www.coupang.com/vp/products/9197372695?itemId=27151438685&vendorItemId=94119262271&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=54&rank=54
56,"[프리미엄 딸기] 딸기 장희딸기 산지계약농가 GAP인증농가, 1개, 400g(24구)",젊은맛이야기(young taste story) / 권승현,136-32-01444,010-2196-0722,https://www.coupang.com/vp/products/9151568248?itemId=27042220642&vendorItemId=94010667467&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=55&rank=55
57,"햅피팜 당도선별 딸기 설향 고당도 생 딸기, 1개, 특품 1kg",햅피팜 / 조미숙,335-03-03506,010-7605-8649,https://www.coupang.com/vp/products/8500957152?itemId=24608186913&vendorItemId=91619540887&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-8d37-51889dfee800&korePlacement=15&koreSubPlacement=57&clickEventId=a3ffb8d0-c9ee-11f0-8d37-51889dfee800&korePlacement=15&koreSubPlacement=57
58,"[과일대전대상] 논산 스마트팜 고당도 생 딸기, 1개, 한입과 350g",주식회사 다원그룹 / 백미나,129-88-03664,010-8140-0370,https://www.coupang.com/vp/products/9196554364?itemId=27147277107&vendorItemId=94115121810&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=57&rank=57
59,"[전국유일 무농약] 논산 킹스베리 프리미엄 딸기, 1개, 왕특(41g~59g)",파머씨드 / 진영남,511-99-01390,010-5846-8151,https://www.coupang.com/vp/products/9203255227?itemId=27162749528&vendorItemId=94130479367&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-80f8-50c042c782c5&korePlacement=15&koreSubPlacement=59&clickEventId=a3ffb8d0-c9ee-11f0-80f8-50c042c782c5&korePlacement=15&koreSubPlacement=59
60,"[농장직송] 빅사이즈 설향딸기 논산 생딸기, 1개, 700g(특대)",플러스팜 / 이경근,208-08-69782,010-8343-2836,https://www.coupang.com/vp/products/9193469194?itemId=27133240361&vendorItemId=94101205837&sourceType=srp_product_ads&clickEventId=a3ffb8d0-c9ee-11f0-9490-cffc04202732&korePlacement=15&koreSubPlacement=60&clickEventId=a3ffb8d0-c9ee-11f0-9490-cffc04202732&korePlacement=15&koreSubPlacement=60
61,"고당도 프리미엄 국산 설향 금실 홍희 킹스베리 생 딸기, 1개, 상 500g*1팩",박서방 / 박재홍,349-90-01870,070-8027-1511,https://www.coupang.com/vp/products/8459469740?itemId=24470662468&vendorItemId=91484218533&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=60&rank=60
62,"[2주한정판매] 첫수확특가 초고당도 과즙폭발 산지직송 설향딸기, 1개, 350g (특과) 15과수내외",온유 (On you) / 박형기,507-05-53930,010-5761-0109,https://www.coupang.com/vp/products/9185807119?itemId=27136380458&vendorItemId=94104317056&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=61&rank=61
63,"[논산 첫 출하] 달콤 신선 설향 딸기 1팩, 1박스, 한입과 15~20과 350g",으뜸컴퍼니 / 정석영,671-02-03837,010-4141-3431,https://www.coupang.com/vp/products/9206843389?itemId=27145904355&vendorItemId=94113765254&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=62&rank=62
64,"팜앤프룻 고당도 제철 설향 딸기, 1개, 1kg 특",207번상회(원협207) / 이정훈,131-92-09111,010-5134-0334,https://www.coupang.com/vp/products/8466359735?itemId=24496391059&vendorItemId=91509547872&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=63&rank=63
65,"[100일 특가] 국내산 산지 직송 고당도 설향 딸기, 1개, 700g (특과)","우람바당 / 이재혁, 우미경",582-93-02254,010-3116-3163,https://www.coupang.com/vp/products/9192064613?itemId=27126678020&vendorItemId=94094705908&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=64&rank=64
66,"[premium] 초고당도 믿고먹는 설향딸기 킹스베리, 1세트, 실속형","리온넷 / 김수현, 송승현",548-11-02898,010-8140-6403,https://www.coupang.com/vp/products/9202383628?itemId=27102538477&vendorItemId=94070698092&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=65&rank=65
67,"[3일특별할인] 온가족이 잘먹는 초고당도 설향딸기, 1박스, 350g (특품)",신일과일 / 홍원진,738-01-03642,010-5826-7986,https://www.coupang.com/vp/products/9195144218?itemId=27140742814&vendorItemId=94108640986&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=66&rank=66
68,"당일수확 새콤달콤 설향 딸기 500g (상/30-42구) 사이즈별 중량별, 01.설향 딸기 500g (상/30-42구)","(주)씨제이이엔엠 (CJ온스타일) / 구창근, 윤상현",106-81-51510,1577-0102,https://www.coupang.com/vp/products/9169386732?itemId=27021335612&vendorItemId=93989946071&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=67&rank=67
69,"[100일 특가] 국내산 산지 직송 고당도 설향 딸기, 1개, 350g (한입과)","우람바당 / 이재혁, 우미경",582-93-02254,010-3116-3163,https://www.coupang.com/vp/products/9192064613?itemId=27126678010&vendorItemId=94094705924&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=68&rank=68
70,"[만족도1위] 킹스베리 딸기, 1박스, 특 1팩",주식회사 성금당 / 조현수,555-87-04133,070-7954-8525,https://www.coupang.com/vp/products/9183616528?itemId=27086788454&vendorItemId=94055028021&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=69&rank=69
71,"[오픈기념특가] 산지직송 명품당도 달콤상큼 설향딸기, 1세트, 700g",명안 / 명복순,261-12-02265,010-6467-5832,https://www.coupang.com/vp/products/9195391909?itemId=27141887354&vendorItemId=94109781678&q=딸기&searchId=88d41d88131283&sourceType=search&itemsCount=36&searchRank=70&rank=70
